CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12398,258,1,1.28,0,Hibernating / Lost
12399,27,9,488.46,2,Loyal / Steady Spenders
12400,264,2,27.81,0,Hibernating / Lost
12401,39,5,431.03,2,Loyal / Steady Spenders
12402,5,2,219.48,3,At-Risk / Needs Attention
12403,31,12,1168.84,1,Champions / VIP
12404,59,7,383.92,2,Loyal / Steady Spenders
12405,2,19,2438.04,1,Champions / VIP
12406,267,3,138.3,0,Hibernating / Lost
12407,194,4,247.9,0,Hibernating / Lost
12408,110,7,677.8399999999999,2,Loyal / Steady Spenders
12409,25,11,1306.25,1,Champions / VIP
12410,18,2,102.39,3,At-Risk / Needs Attention
12411,120,11,880.11,2,Loyal / Steady Spenders
12412,339,2,92.08,0,Hibernating / Lost
12413,4,1,37.98,3,At-Risk / Needs Attention
12414,187,4,144.87,0,Hibernating / Lost
12415,18,8,1547.74,1,Champions / VIP
12416,316,5,338.66,0,Hibernating / Lost
12417,48,5,552.75,2,Loyal / Steady Spenders
12418,21,1,109.12,3,At-Risk / Needs Attention
12419,6,10,832.93,1,Champions / VIP
12420,152,10,1409.41,2,Loyal / Steady Spenders
12421,3,25,5594.12,1,Champions / VIP
12422,39,5,479.14,2,Loyal / Steady Spenders
12423,313,3,243.57999999999998,0,Hibernating / Lost
12424,313,1,31.21,0,Hibernating / Lost
12425,113,11,1055.57,2,Loyal / Steady Spenders
12426,114,8,1028.46,2,Loyal / Steady Spenders
12427,292,3,146.04,0,Hibernating / Lost
12428,16,6,596.9399999999999,2,Loyal / Steady Spenders
12429,294,1,87.04,0,Hibernating / Lost
12430,7,7,818.1800000000001,2,Loyal / Steady Spenders
12431,20,19,2808.57,1,Champions / VIP
12432,17,14,1157.67,1,Champions / VIP
12433,268,5,205.92,0,Hibernating / Lost
12434,329,6,336.63,0,Hibernating / Lost
12435,10,1,112.88,3,At-Risk / Needs Attention
12436,272,2,60.72,0,Hibernating / Lost
12437,177,2,95.76,0,Hibernating / Lost
12438,40,1,22.549999999999997,3,At-Risk / Needs Attention
12439,257,3,96.05,0,Hibernating / Lost
12440,6,4,489.64,2,Loyal / Steady Spenders
12441,336,3,206.13,0,Hibernating / Lost
12442,48,7,742.6,2,Loyal / Steady Spenders
12443,23,2,151.76,3,At-Risk / Needs Attention
12444,32,10,1308.21,1,Champions / VIP
12445,58,5,352.03,2,Loyal / Steady Spenders
12446,15,14,1873.45,1,Champions / VIP
12447,19,15,2849.0699999999997,1,Champions / VIP
12448,29,7,724.33,2,Loyal / Steady Spenders
12449,324,1,28.130000000000003,0,Hibernating / Lost
12450,18,1,101.38999999999999,3,At-Risk / Needs Attention
12451,133,5,643.9,2,Loyal / Steady Spenders
12452,251,3,188.98,0,Hibernating / Lost
12453,269,2,279.59000000000003,0,Hibernating / Lost
12454,116,6,437.1,2,Loyal / Steady Spenders
12455,157,4,298.15999999999997,2,Loyal / Steady Spenders
12456,15,21,5047.32,1,Champions / VIP
12457,146,5,422.8,2,Loyal / Steady Spenders
12458,8,11,1147.99,1,Champions / VIP
12459,28,11,1296.68,1,Champions / VIP
12460,334,3,133.48,0,Hibernating / Lost
12461,180,8,379.17,2,Loyal / Steady Spenders
12462,3,2,141.53,3,At-Risk / Needs Attention
12463,161,8,674.35,2,Loyal / Steady Spenders
12464,30,8,461.99,2,Loyal / Steady Spenders
12465,188,3,371.67,0,Hibernating / Lost
12466,11,21,3157.7,1,Champions / VIP
12467,5,9,1986.57,1,Champions / VIP
12468,319,4,263.45,0,Hibernating / Lost
12469,33,12,1953.76,1,Champions / VIP
12470,9,3,156.44,3,At-Risk / Needs Attention
12471,28,7,441.44,2,Loyal / Steady Spenders
12472,49,5,156.59,3,At-Risk / Needs Attention
12473,14,1,133.79,3,At-Risk / Needs Attention
12474,43,8,1018.4200000000001,2,Loyal / Steady Spenders
12475,20,5,337.06,2,Loyal / Steady Spenders
12476,7,3,221.98,3,At-Risk / Needs Attention
12477,19,10,1167.97,1,Champions / VIP
12478,343,2,156.46,0,Hibernating / Lost
12479,1,2,89.53999999999999,3,At-Risk / Needs Attention
12480,11,16,3737.49,1,Champions / VIP
12481,20,22,3302.3,1,Champions / VIP
12482,242,5,480.38000000000005,2,Loyal / Steady Spenders
12483,163,12,710.2,2,Loyal / Steady Spenders
12484,14,1,56.57,3,At-Risk / Needs Attention
12485,58,6,736.94,2,Loyal / Steady Spenders
12486,34,6,646.83,2,Loyal / Steady Spenders
12487,284,2,203.7,0,Hibernating / Lost
12488,99,12,866.54,2,Loyal / Steady Spenders
12489,324,3,115.6,0,Hibernating / Lost
12490,191,3,223.51999999999998,0,Hibernating / Lost
12491,4,3,156.14,3,At-Risk / Needs Attention
12492,49,8,542.31,2,Loyal / Steady Spenders
12493,17,8,922.22,2,Loyal / Steady Spenders
12494,50,6,611.29,2,Loyal / Steady Spenders
12495,8,1,75.69999999999999,3,At-Risk / Needs Attention
12496,172,5,456.99,2,Loyal / Steady Spenders
12497,35,11,1049.51,1,Champions / VIP
12498,31,8,1098.55,2,Loyal / Steady Spenders
12499,19,1,21.7,3,At-Risk / Needs Attention
12500,258,3,297.02,0,Hibernating / Lost
12501,64,12,1236.81,1,Champions / VIP
12502,41,4,354.06,2,Loyal / Steady Spenders
12503,117,7,1044.52,2,Loyal / Steady Spenders
12504,1,24,3501.76,1,Champions / VIP
12505,59,7,578.22,2,Loyal / Steady Spenders
12506,319,1,29.97,0,Hibernating / Lost
12507,7,14,1325.69,1,Champions / VIP
12508,225,6,239.29,0,Hibernating / Lost
12509,58,6,280.28000000000003,2,Loyal / Steady Spenders
12510,18,3,291.98,3,At-Risk / Needs Attention
12511,346,3,222.9,0,Hibernating / Lost
12512,13,27,4238.99,1,Champions / VIP
12513,101,12,1718.83,1,Champions / VIP
12514,231,4,318.65999999999997,0,Hibernating / Lost
12515,3,3,124.60000000000001,3,At-Risk / Needs Attention
12516,4,10,1375.77,1,Champions / VIP
12517,90,6,816.48,2,Loyal / Steady Spenders
12518,9,20,3535.36,1,Champions / VIP
12519,13,8,738.84,2,Loyal / Steady Spenders
12520,29,10,711.68,2,Loyal / Steady Spenders
12521,24,1,27.869999999999997,3,At-Risk / Needs Attention
12522,267,1,122.33,0,Hibernating / Lost
12523,20,11,1046.04,1,Champions / VIP
12524,32,7,559.84,2,Loyal / Steady Spenders
12525,135,6,737.74,2,Loyal / Steady Spenders
12526,195,2,52.67,0,Hibernating / Lost
12527,288,2,167.12,0,Hibernating / Lost
12528,27,12,2361.75,1,Champions / VIP
12529,54,8,640.66,2,Loyal / Steady Spenders
12530,173,5,296.83,2,Loyal / Steady Spenders
12531,47,8,936.47,2,Loyal / Steady Spenders
12532,224,5,475.41,2,Loyal / Steady Spenders
12533,28,2,174.51,3,At-Risk / Needs Attention
12534,187,5,221.02,2,Loyal / Steady Spenders
12535,60,3,193.7,3,At-Risk / Needs Attention
12536,5,3,44.52,3,At-Risk / Needs Attention
12537,36,13,1115.1399999999999,1,Champions / VIP
12538,265,2,37.76,0,Hibernating / Lost
12539,12,29,5787.94,1,Champions / VIP
12540,60,5,574.79,2,Loyal / Steady Spenders
12541,29,7,1083.82,2,Loyal / Steady Spenders
12542,43,4,573.13,2,Loyal / Steady Spenders
12543,177,10,876.03,2,Loyal / Steady Spenders
12544,221,4,119.94999999999999,0,Hibernating / Lost
12545,206,5,406.58,2,Loyal / Steady Spenders
12546,13,6,288.7,2,Loyal / Steady Spenders
12547,28,6,607.69,2,Loyal / Steady Spenders
12548,40,4,90.73,3,At-Risk / Needs Attention
12549,270,3,101.1,0,Hibernating / Lost
12550,100,10,831.67,2,Loyal / Steady Spenders
12551,27,2,155.99,3,At-Risk / Needs Attention
12552,34,14,1416.36,1,Champions / VIP
12553,267,6,399.37,0,Hibernating / Lost
12554,317,2,117.57,0,Hibernating / Lost
12555,333,1,77.89,0,Hibernating / Lost
12556,168,4,255.16,2,Loyal / Steady Spenders
12557,116,6,556.0600000000001,2,Loyal / Steady Spenders
12558,259,3,156.82,0,Hibernating / Lost
12559,172,3,161.24,0,Hibernating / Lost
12560,6,7,897.86,2,Loyal / Steady Spenders
12561,159,7,659.48,2,Loyal / Steady Spenders
12562,15,11,1399.32,1,Champions / VIP
12563,330,1,80.72,0,Hibernating / Lost
12564,21,2,194.71,3,At-Risk / Needs Attention
12565,213,6,352.04,2,Loyal / Steady Spenders
12566,297,1,46.230000000000004,0,Hibernating / Lost
12567,36,1,34.47,3,At-Risk / Needs Attention
12568,40,10,1189.14,1,Champions / VIP
12569,202,5,270.08,2,Loyal / Steady Spenders
12570,289,5,365.51,0,Hibernating / Lost
12571,5,7,907.82,2,Loyal / Steady Spenders
12572,30,7,382.24,2,Loyal / Steady Spenders
12573,291,2,148.35999999999999,0,Hibernating / Lost
12574,27,4,731.35,2,Loyal / Steady Spenders
12575,307,6,394.66,0,Hibernating / Lost
12576,340,5,187.03,0,Hibernating / Lost
12577,315,1,6.86,0,Hibernating / Lost
12578,33,11,1189.76,1,Champions / VIP
12579,281,3,212.88,0,Hibernating / Lost
12580,121,6,444.28,2,Loyal / Steady Spenders
12581,9,14,2125.24,1,Champions / VIP
12582,207,4,336.21999999999997,0,Hibernating / Lost
12583,353,2,64.92,0,Hibernating / Lost
12584,18,28,5081.03,1,Champions / VIP
12585,30,11,1159.17,1,Champions / VIP
12586,155,10,1222.43,2,Loyal / Steady Spenders
12587,96,11,678.72,2,Loyal / Steady Spenders
12588,297,4,283.99,0,Hibernating / Lost
12589,32,13,1309.1599999999999,1,Champions / VIP
12590,276,1,16.19,0,Hibernating / Lost
12591,154,6,323.38,2,Loyal / Steady Spenders
12592,18,21,5245.17,1,Champions / VIP
12593,32,5,684.46,2,Loyal / Steady Spenders
12594,62,8,772.66,2,Loyal / Steady Spenders
12595,12,1,31.04,3,At-Risk / Needs Attention
12596,328,6,555.19,0,Hibernating / Lost
12597,15,2,164.94,3,At-Risk / Needs Attention
12598,6,20,4103.04,1,Champions / VIP
12599,329,1,15.1,0,Hibernating / Lost
12600,16,26,5301.01,1,Champions / VIP
12601,315,1,18.35,0,Hibernating / Lost
12602,41,8,1559.45,1,Champions / VIP
12603,27,13,1257.27,1,Champions / VIP
12604,276,3,255.51999999999998,0,Hibernating / Lost
12605,33,5,188.6,2,Loyal / Steady Spenders
12606,200,2,150.29,0,Hibernating / Lost
12607,302,5,369.72,0,Hibernating / Lost
12608,147,12,690.3199999999999,2,Loyal / Steady Spenders
12609,20,12,979.27,1,Champions / VIP
12610,353,2,113.92,0,Hibernating / Lost
12611,20,6,288.52,2,Loyal / Steady Spenders
12612,23,8,679.01,2,Loyal / Steady Spenders
12613,18,9,878.94,2,Loyal / Steady Spenders
12614,322,2,154.7,0,Hibernating / Lost
12615,298,1,82.87,0,Hibernating / Lost
12616,45,8,859.02,2,Loyal / Steady Spenders
12617,112,5,547.5600000000001,2,Loyal / Steady Spenders
12618,15,3,153.02,3,At-Risk / Needs Attention
12619,168,4,372.53000000000003,2,Loyal / Steady Spenders
12620,168,12,902.25,2,Loyal / Steady Spenders
12621,275,3,150.16,0,Hibernating / Lost
12622,327,4,218.43,0,Hibernating / Lost
12623,319,2,116.32,0,Hibernating / Lost
12624,19,1,254.60000000000002,3,At-Risk / Needs Attention
12625,168,8,811.69,2,Loyal / Steady Spenders
12626,36,8,823.05,2,Loyal / Steady Spenders
12627,17,15,1413.17,1,Champions / VIP
12628,305,5,397.90999999999997,0,Hibernating / Lost
12629,7,11,1108.49,1,Champions / VIP
12630,19,7,978.93,2,Loyal / Steady Spenders
12631,163,5,520.86,2,Loyal / Steady Spenders
12632,40,6,749.72,2,Loyal / Steady Spenders
12633,25,1,159.65,3,At-Risk / Needs Attention
12634,254,2,77.18,0,Hibernating / Lost
12635,314,2,107.72999999999999,0,Hibernating / Lost
12636,236,3,156.91,0,Hibernating / Lost
12638,105,8,489.73999999999995,2,Loyal / Steady Spenders
12639,26,5,396.06,2,Loyal / Steady Spenders
12640,98,12,819.14,2,Loyal / Steady Spenders
12641,18,17,3624.13,1,Champions / VIP
12642,7,1,54.78,3,At-Risk / Needs Attention
12643,31,8,440.73,2,Loyal / Steady Spenders
12644,31,14,1484.07,1,Champions / VIP
12645,136,5,346.88,2,Loyal / Steady Spenders
12646,163,6,406.54,2,Loyal / Steady Spenders
12647,21,1,34.33,3,At-Risk / Needs Attention
12648,34,6,623.92,2,Loyal / Steady Spenders
12649,134,6,451.38,2,Loyal / Steady Spenders
12650,15,13,1217.17,1,Champions / VIP
12651,21,3,465.89,3,At-Risk / Needs Attention
12652,296,3,88.16,0,Hibernating / Lost
12653,8,12,1504.66,1,Champions / VIP
12654,164,2,101.27,0,Hibernating / Lost
12655,40,11,1326.57,1,Champions / VIP
12656,317,3,142.02,0,Hibernating / Lost
12657,304,3,226.81,0,Hibernating / Lost
12658,7,23,5520.09,1,Champions / VIP
12659,130,6,300.64,2,Loyal / Steady Spenders
12660,2,3,157.81,3,At-Risk / Needs Attention
12661,2,30,6295.7,1,Champions / VIP
12662,150,10,794.19,2,Loyal / Steady Spenders
12663,138,10,557.97,2,Loyal / Steady Spenders
12664,8,6,550.97,2,Loyal / Steady Spenders
12665,3,25,3410.7599999999998,1,Champions / VIP
12666,14,19,5047.43,1,Champions / VIP
12667,126,6,557.51,2,Loyal / Steady Spenders
12668,241,3,246.81,0,Hibernating / Lost
12669,184,5,368.64,2,Loyal / Steady Spenders
12670,24,7,306.23,2,Loyal / Steady Spenders
12671,35,12,1560.8000000000002,1,Champions / VIP
12672,341,1,16.94,0,Hibernating / Lost
12673,53,6,908.65,2,Loyal / Steady Spenders
12674,10,23,2396.17,1,Champions / VIP
12675,16,4,183.99,3,At-Risk / Needs Attention
12676,158,4,159.56,0,Hibernating / Lost
12677,173,6,373.55,2,Loyal / Steady Spenders
12678,25,3,371.21,3,At-Risk / Needs Attention
12679,149,6,487.01,2,Loyal / Steady Spenders
12680,169,4,244.07999999999998,2,Loyal / Steady Spenders
12681,1,3,148.38,3,At-Risk / Needs Attention
12682,39,12,823.98,1,Champions / VIP
12683,207,2,67.39,0,Hibernating / Lost
12684,9,26,4272.55,1,Champions / VIP
12685,223,4,200.69,0,Hibernating / Lost
12686,10,24,4258.35,1,Champions / VIP
12687,343,1,60.74,0,Hibernating / Lost
12688,280,3,273.85,0,Hibernating / Lost
12689,322,4,199.47,0,Hibernating / Lost
12690,16,1,119.96000000000001,3,At-Risk / Needs Attention
12691,149,10,646.33,2,Loyal / Steady Spenders
12692,158,5,266.28,2,Loyal / Steady Spenders
12693,96,5,336.79,2,Loyal / Steady Spenders
12694,323,6,349.51,0,Hibernating / Lost
12695,327,2,109.57,0,Hibernating / Lost
12696,5,7,646.2,2,Loyal / Steady Spenders
12697,39,12,1699.42,1,Champions / VIP
12698,3,12,1307.4,1,Champions / VIP
12699,120,7,762.08,2,Loyal / Steady Spenders
12700,197,11,859.98,2,Loyal / Steady Spenders
12701,16,24,5036.77,1,Champions / VIP
12702,51,6,600.19,2,Loyal / Steady Spenders
12703,283,2,83.55,0,Hibernating / Lost
12705,19,1,73.47,3,At-Risk / Needs Attention
12706,22,2,174.22,3,At-Risk / Needs Attention
12707,290,5,294.26,0,Hibernating / Lost
12708,58,6,698.5600000000001,2,Loyal / Steady Spenders
12709,26,2,262.6,3,At-Risk / Needs Attention
12710,131,9,1226.49,2,Loyal / Steady Spenders
12711,49,8,620.57,2,Loyal / Steady Spenders
12712,173,5,529.46,2,Loyal / Steady Spenders
12713,119,9,1110.0,2,Loyal / Steady Spenders
12714,25,9,607.89,2,Loyal / Steady Spenders
12715,153,12,1313.62,2,Loyal / Steady Spenders
12716,23,3,249.41,3,At-Risk / Needs Attention
12717,16,2,149.51,3,At-Risk / Needs Attention
12718,52,18,2706.83,1,Champions / VIP
12719,26,2,181.99,3,At-Risk / Needs Attention
12720,31,6,491.81,2,Loyal / Steady Spenders
12721,60,4,374.52,2,Loyal / Steady Spenders
12722,26,15,2450.98,1,Champions / VIP
12723,170,10,1266.15,2,Loyal / Steady Spenders
12724,167,6,493.96,2,Loyal / Steady Spenders
12725,230,3,121.18,0,Hibernating / Lost
12726,13,9,893.12,2,Loyal / Steady Spenders
12727,53,5,511.26,2,Loyal / Steady Spenders
12728,285,4,119.83,0,Hibernating / Lost
12729,199,5,346.94,2,Loyal / Steady Spenders
12730,3,11,1369.35,1,Champions / VIP
12731,19,29,5007.5,1,Champions / VIP
12732,120,9,614.11,2,Loyal / Steady Spenders
12733,1,7,740.72,2,Loyal / Steady Spenders
12734,315,2,29.93,0,Hibernating / Lost
12735,120,10,822.69,2,Loyal / Steady Spenders
12736,31,10,747.69,2,Loyal / Steady Spenders
12737,7,7,867.33,2,Loyal / Steady Spenders
12738,24,4,393.77,2,Loyal / Steady Spenders
12739,353,2,39.39,0,Hibernating / Lost
12740,165,4,223.52,2,Loyal / Steady Spenders
12741,285,1,82.99000000000001,0,Hibernating / Lost
12742,8,28,4734.3,1,Champions / VIP
12743,315,3,190.12,0,Hibernating / Lost
12744,287,3,104.46000000000001,0,Hibernating / Lost
12745,159,6,330.68,2,Loyal / Steady Spenders
12746,8,29,5933.95,1,Champions / VIP
12747,33,11,1354.81,1,Champions / VIP
12748,24,2,160.86,3,At-Risk / Needs Attention
12749,99,9,493.99,2,Loyal / Steady Spenders
12750,114,9,714.61,2,Loyal / Steady Spenders
12751,152,3,320.31,2,Loyal / Steady Spenders
12752,132,8,698.13,2,Loyal / Steady Spenders
12753,24,6,318.6,2,Loyal / Steady Spenders
12754,13,10,1147.87,1,Champions / VIP
12755,283,1,15.24,0,Hibernating / Lost
12756,156,4,421.54999999999995,2,Loyal / Steady Spenders
12757,16,3,392.64,3,At-Risk / Needs Attention
12758,46,6,290.43,2,Loyal / Steady Spenders
12759,130,6,614.73,2,Loyal / Steady Spenders
12760,120,5,994.63,2,Loyal / Steady Spenders
12761,3,7,1184.1200000000001,2,Loyal / Steady Spenders
12762,52,4,619.3100000000001,2,Loyal / Steady Spenders
12763,221,4,232.03,0,Hibernating / Lost
12764,132,5,561.53,2,Loyal / Steady Spenders
12765,93,11,1531.96,1,Champions / VIP
12766,36,6,542.83,2,Loyal / Steady Spenders
12767,176,6,674.25,2,Loyal / Steady Spenders
12768,29,2,363.57,3,At-Risk / Needs Attention
12769,38,7,829.27,2,Loyal / Steady Spenders
12770,153,7,669.28,2,Loyal / Steady Spenders
12771,340,2,145.56,0,Hibernating / Lost
12772,167,12,1080.7,2,Loyal / Steady Spenders
12773,26,7,649.88,2,Loyal / Steady Spenders
12774,150,5,415.93999999999994,2,Loyal / Steady Spenders
12775,96,8,462.28,2,Loyal / Steady Spenders
12776,4,12,927.43,1,Champions / VIP
12777,17,6,409.27,2,Loyal / Steady Spenders
12778,300,5,435.5,0,Hibernating / Lost
12779,126,5,630.33,2,Loyal / Steady Spenders
12780,41,8,485.09999999999997,2,Loyal / Steady Spenders
12781,23,13,1589.46,1,Champions / VIP
12782,213,6,283.38,2,Loyal / Steady Spenders
12783,10,2,99.38,3,At-Risk / Needs Attention
12784,283,1,29.57,0,Hibernating / Lost
12785,40,6,679.95,2,Loyal / Steady Spenders
12786,349,2,90.69,0,Hibernating / Lost
12787,310,4,244.18,0,Hibernating / Lost
12788,3,1,122.44,3,At-Risk / Needs Attention
12789,278,2,72.31,0,Hibernating / Lost
12790,13,6,461.8,2,Loyal / Steady Spenders
12791,2,25,3295.25,1,Champions / VIP
12792,9,19,3305.17,1,Champions / VIP
12793,46,8,889.39,2,Loyal / Steady Spenders
12794,27,13,1337.75,1,Champions / VIP
12795,295,1,15.049999999999999,0,Hibernating / Lost
12796,33,12,1145.36,1,Champions / VIP
12797,28,1,44.63,3,At-Risk / Needs Attention
12798,114,7,510.88,2,Loyal / Steady Spenders
12799,7,8,472.38,2,Loyal / Steady Spenders
12800,145,4,305.88,2,Loyal / Steady Spenders
12801,182,3,141.60000000000002,0,Hibernating / Lost
12802,46,5,552.96,2,Loyal / Steady Spenders
12803,21,2,77.52000000000001,3,At-Risk / Needs Attention
12804,175,12,1639.23,2,Loyal / Steady Spenders
12805,50,6,489.98,2,Loyal / Steady Spenders
12806,181,4,199.56,0,Hibernating / Lost
12807,13,2,97.42999999999999,3,At-Risk / Needs Attention
12808,35,4,167.32999999999998,3,At-Risk / Needs Attention
12809,315,3,146.6,0,Hibernating / Lost
12810,338,6,382.39,0,Hibernating / Lost
12811,37,10,1013.48,1,Champions / VIP
12812,26,14,2700.7999999999997,1,Champions / VIP
12813,27,7,623.6899999999999,2,Loyal / Steady Spenders
12814,241,4,122.71,0,Hibernating / Lost
12815,34,5,229.24,2,Loyal / Steady Spenders
12816,238,5,315.23,0,Hibernating / Lost
12817,98,11,989.46,2,Loyal / Steady Spenders
12818,19,2,100.67999999999999,3,At-Risk / Needs Attention
12819,14,7,898.38,2,Loyal / Steady Spenders
12820,5,16,3796.5,1,Champions / VIP
12821,237,2,194.63,0,Hibernating / Lost
12822,175,10,1343.15,2,Loyal / Steady Spenders
12823,231,5,455.55,2,Loyal / Steady Spenders
12824,2,3,185.14000000000001,3,At-Risk / Needs Attention
12825,10,17,2820.77,1,Champions / VIP
12826,322,4,167.15,0,Hibernating / Lost
12827,29,1,133.48,3,At-Risk / Needs Attention
12828,112,8,868.77,2,Loyal / Steady Spenders
12829,233,6,439.99,2,Loyal / Steady Spenders
12830,32,7,552.4,2,Loyal / Steady Spenders
12831,155,12,879.05,2,Loyal / Steady Spenders
12832,6,5,397.17,2,Loyal / Steady Spenders
12833,55,8,1130.35,2,Loyal / Steady Spenders
12834,234,5,207.92,0,Hibernating / Lost
12835,57,4,307.79,2,Loyal / Steady Spenders
12836,9,10,1420.38,1,Champions / VIP
12837,8,27,5472.8,1,Champions / VIP
12838,55,4,352.85,2,Loyal / Steady Spenders
12839,14,16,2722.88,1,Champions / VIP
12840,33,4,353.71,2,Loyal / Steady Spenders
12841,138,9,1387.48,2,Loyal / Steady Spenders
12842,6,4,206.6,3,At-Risk / Needs Attention
12843,10,1,50.01,3,At-Risk / Needs Attention
12844,290,6,334.93,0,Hibernating / Lost
12845,263,3,203.38000000000002,0,Hibernating / Lost
12846,255,3,139.71,0,Hibernating / Lost
12847,357,1,16.85,0,Hibernating / Lost
12848,38,12,1775.81,1,Champions / VIP
12849,13,22,4400.56,1,Champions / VIP
12850,157,5,875.77,2,Loyal / Steady Spenders
12851,246,1,58.91,0,Hibernating / Lost
12852,8,10,1827.07,1,Champions / VIP
12853,43,4,657.6,2,Loyal / Steady Spenders
12854,122,8,620.75,2,Loyal / Steady Spenders
12855,19,2,323.31,3,At-Risk / Needs Attention
12856,252,2,27.310000000000002,0,Hibernating / Lost
12857,340,2,68.28999999999999,0,Hibernating / Lost
12858,14,18,2923.72,1,Champions / VIP
12859,21,10,1507.5,1,Champions / VIP
12860,307,2,97.41,0,Hibernating / Lost
12861,165,4,262.56,2,Loyal / Steady Spenders
12862,27,1,178.57999999999998,3,At-Risk / Needs Attention
12863,7,9,1142.6100000000001,1,Champions / VIP
12864,258,6,278.3,0,Hibernating / Lost
12865,331,1,21.29,0,Hibernating / Lost
12866,160,10,1323.34,2,Loyal / Steady Spenders
12867,159,11,845.38,2,Loyal / Steady Spenders
12868,13,25,4165.35,1,Champions / VIP
12869,94,9,920.23,2,Loyal / Steady Spenders
12870,106,10,862.48,2,Loyal / Steady Spenders
12871,117,11,707.0,2,Loyal / Steady Spenders
12872,96,12,1568.28,1,Champions / VIP
12873,23,6,245.19,2,Loyal / Steady Spenders
12874,145,11,1118.83,2,Loyal / Steady Spenders
12875,151,11,991.12,2,Loyal / Steady Spenders
12876,94,11,1042.41,2,Loyal / Steady Spenders
12877,12,14,1762.26,1,Champions / VIP
12878,154,6,226.85,2,Loyal / Steady Spenders
12879,203,5,406.0,2,Loyal / Steady Spenders
12880,115,11,759.14,2,Loyal / Steady Spenders
12881,6,2,162.33,3,At-Risk / Needs Attention
12882,102,7,723.97,2,Loyal / Steady Spenders
12883,7,8,1119.14,1,Champions / VIP
12884,126,5,274.92,2,Loyal / Steady Spenders
12885,29,3,307.41,3,At-Risk / Needs Attention
12886,10,14,1129.17,1,Champions / VIP
12887,11,12,871.61,1,Champions / VIP
12888,142,10,552.36,2,Loyal / Steady Spenders
12889,261,1,24.43,0,Hibernating / Lost
12890,187,4,304.96,2,Loyal / Steady Spenders
12891,150,10,965.13,2,Loyal / Steady Spenders
12892,4,12,1671.27,1,Champions / VIP
12893,21,2,69.24,3,At-Risk / Needs Attention
12894,144,8,668.51,2,Loyal / Steady Spenders
12895,40,3,275.72,3,At-Risk / Needs Attention
12896,298,2,105.92999999999999,0,Hibernating / Lost
12897,233,6,408.12,2,Loyal / Steady Spenders
12898,4,19,3275.56,1,Champions / VIP
12899,103,8,594.71,2,Loyal / Steady Spenders
12900,17,5,307.84000000000003,2,Loyal / Steady Spenders
12901,133,10,753.94,2,Loyal / Steady Spenders
12902,172,4,385.28000000000003,2,Loyal / Steady Spenders
12903,15,4,381.76,2,Loyal / Steady Spenders
12904,3,9,905.37,1,Champions / VIP
12905,291,3,121.07,0,Hibernating / Lost
