InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
539632,23256,CHILDRENS CUTLERY SPACEBOY,11,01/03/2026 09:39,4.04,12793.0,United Kingdom
536566,23203,JUMBO BAG DOILEY PATTERNS,10,05/18/2026 08:59,2.09,12373.0,United Kingdom
537828,47566,PARTY BUNTING,11,10/27/2025 17:20,4.84,12550.0,United Kingdom
538598,47566,PARTY BUNTING,11,09/02/2025 11:19,5.03,12661.0,United Kingdom
537011,23256,CHILDRENS CUTLERY SPACEBOY,6,04/22/2026 08:42,4.19,12432.0,United Kingdom
539417,22699,ROSES REGENCY TEACUP AND SAUCER,10,05/07/2026 10:55,2.98,12762.0,United Kingdom
540963,22383,LUNCH BAG SUKI DESIGN,7,08/14/2025 14:53,1.64,12979.0,United Kingdom
538007,22629,SPACEBOY LUNCH BOX,18,05/07/2026 14:05,2.04,12581.0,United Kingdom
538797,23203,JUMBO BAG DOILEY PATTERNS,2,05/22/2026 10:45,2.05,,Portugal
536566,22960,JAM MAKING SET WITH JARS,3,05/18/2026 18:21,4.05,12373.0,United Kingdom
538988,22960,JAM MAKING SET WITH JARS,5,08/10/2025 13:36,4.45,12707.0,United Kingdom
537002,23203,JUMBO BAG DOILEY PATTERNS,3,08/17/2025 15:09,1.98,12432.0,United Kingdom
536464,22699,ROSES REGENCY TEACUP AND SAUCER,12,07/22/2026 15:10,2.87,12359.0,United Kingdom
539177,22960,JAM MAKING SET WITH JARS,10,08/15/2025 09:41,4.09,12731.0,United Kingdom
538519,21931,JUMBO STORAGE BAG SUKI,1,10/16/2025 14:19,2.0,12652.0,United Kingdom
538287,21754,HOME BUILDING BLOCK WORD,4,10/14/2025 08:17,6.04,12615.0,United Kingdom
539575,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,10/02/2025 11:22,2.5,12787.0,United Kingdom
539555,20725,LUNCH BAG RED RETROSPOT,2,09/21/2025 14:18,1.69,12782.0,United Kingdom
539431,84991,60 TEATIME FAIRY CAKE CASES,16,11/18/2025 10:35,0.56,12765.0,United Kingdom
540436,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,10,04/07/2026 12:37,3.06,12899.0,United Kingdom
540042,22960,JAM MAKING SET WITH JARS,8,07/26/2026 13:37,4.31,12849.0,United Kingdom
536701,22720,SET OF 3 CAKE TINS PANTRY DESIGN,6,08/13/2025 11:55,6.92,12390.0,United Kingdom
539674,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,05/23/2026 13:47,2.9,12799.0,United Kingdom
536983,47566,PARTY BUNTING,2,08/09/2025 17:31,4.79,12431.0,France
540595,22197,Small Popcorn Holder  ,18,07/25/2026 11:38,0.87,12923.0,United Kingdom
536486,71053,WHITE METAL LANTERN,3,04/07/2026 08:07,3.41,12363.0,France
540111,21754,HOME BUILDING BLOCK WORD,8,01/20/2026 08:39,5.7,12861.0,United Kingdom
539817,21931,JUMBO STORAGE BAG SUKI,28,06/14/2026 12:47,2.12,12820.0,United Kingdom
537318,21212,PACK OF 72 RETROSPOT CAKE CASES,15,04/11/2026 18:23,0.55,12480.0,United Kingdom
540972,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,01/10/2026 10:55,2.43,12979.0,United Kingdom
537179,22086,PAPER CHAIN KIT 50'S CHRISTMAS,4,08/14/2025 12:05,3.01,12460.0,United Kingdom
538763,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,02/23/2026 08:13,4.29,12676.0,United Kingdom
540062,22960,JAM MAKING SET WITH JARS,9,05/02/2026 12:53,4.26,12853.0,United Kingdom
538986,84991,60 TEATIME FAIRY CAKE CASES,2,08/09/2025 12:46,0.54,12707.0,United Kingdom
536414,22720,SET OF 3 CAKE TINS PANTRY DESIGN,8,10/24/2025 17:38,7.22,,United Kingdom
537692,22629,SPACEBOY LUNCH BOX,8,05/28/2026 15:40,1.95,12529.0,United Kingdom
536470,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/23/2025 17:20,2.46,12361.0,United Kingdom
C536647,71053,White Metal Lantern  ,-17,07/23/2026 08:16,3.3,12382.0,United Kingdom
539417,23298,SPOTTY BUNTING,12,05/07/2026 11:10,5.97,12762.0,United Kingdom
538050,21931,JUMBO STORAGE BAG SUKI,2,02/25/2026 09:04,2.15,12585.0,United Kingdom
538376,22699,ROSES REGENCY TEACUP AND SAUCER,9,05/27/2026 13:51,2.94,12629.0,Italy
537040,22197,SMALL POPCORN HOLDER,3,08/02/2026 16:03,0.82,12440.0,United Kingdom
539770,22383,LUNCH BAG SUKI DESIGN,7,05/01/2026 08:09,1.73,12815.0,United Kingdom
538608,84991,60 TEATIME FAIRY CAKE CASES,29,02/10/2026 18:34,0.56,12661.0,United Kingdom
538346,22699,ROSES REGENCY TEACUP AND SAUCER,1,05/14/2026 19:57,2.95,12626.0,United Kingdom
537305,21931,JUMBO STORAGE BAG SUKI,3,07/09/2026 14:13,2.14,12479.0,United Kingdom
539576,21212,PACK OF 72 RETROSPOT CAKE CASES,6,08/05/2026 14:24,0.56,12788.0,United Kingdom
537857,21754,HOME BUILDING BLOCK WORD,7,08/17/2025 15:59,6.01,12553.0,United Kingdom
539408,22197,SMALL POPCORN HOLDER,14,02/10/2026 09:38,0.84,12761.0,United Kingdom
537450,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,5,10/27/2025 10:37,2.97,12500.0,United Kingdom
537240,22720,SET OF 3 CAKE TINS PANTRY DESIGN,5,08/03/2026 15:24,7.23,,United Kingdom
539281,22197,SMALL POPCORN HOLDER,1,08/26/2025 15:58,0.85,12744.0,United Kingdom
536505,22197,SMALL POPCORN HOLDER,15,08/08/2025 18:22,0.82,12367.0,United Kingdom
536576,22197,SMALL POPCORN HOLDER,10,06/26/2026 17:06,0.84,12374.0,United Kingdom
540399,21212,PACK OF 72 RETROSPOT CAKE CASES,6,05/19/2026 13:23,0.53,12895.0,Italy
538992,22197,SMALL POPCORN HOLDER,12,03/18/2026 11:29,0.86,12708.0,United Kingdom
540246,21212,PACK OF 72 RETROSPOT CAKE CASES,12,02/10/2026 14:10,0.56,12875.0,United Kingdom
538032,23298,SPOTTY BUNTING,19,08/31/2025 16:54,6.1,12584.0,United Kingdom
539776,21755,LOVE BUILDING BLOCK WORD,6,10/13/2025 15:44,6.04,12816.0,United Kingdom
539313,23298,SPOTTY BUNTING,22,03/02/2026 15:34,6.13,12746.0,United Kingdom
541076,71053,WHITE METAL LANTERN,3,11/18/2025 11:40,3.44,12991.0,United Kingdom
536988,20725,LUNCH BAG RED RETROSPOT,2,08/17/2025 08:39,1.59,12431.0,France
538608,22720,SET OF 3 CAKE TINS PANTRY DESIGN,21,02/10/2026 17:18,6.91,,United Kingdom
537848,21754,HOME BUILDING BLOCK WORD,13,01/29/2026 16:03,5.73,12552.0,United Kingdom
540954,21931,JUMBO STORAGE BAG SUKI,9,03/28/2026 08:57,2.05,,United Kingdom
537011,22960,JAM MAKING SET WITH JARS,4,04/22/2026 12:06,4.4,12432.0,United Kingdom
537709,22960,JAM MAKING SET WITH JARS,7,11/29/2025 19:45,4.13,12532.0,Netherlands
539707,22960,JAM MAKING SET WITH JARS,8,02/23/2026 09:42,4.19,12805.0,United Kingdom
540471,22197,SMALL POPCORN HOLDER,2,05/26/2026 12:17,0.83,12904.0,United Kingdom
537710,71053,WHITE METAL LANTERN,4,12/08/2025 14:57,3.43,12532.0,Netherlands
536417,23298,SPOTTY BUNTING,6,12/18/2025 19:12,5.68,12353.0,United Kingdom
539837,84879,ASSORTED COLOUR BIRD ORNAMENT,2,07/06/2026 15:46,1.69,12824.0,United Kingdom
538378,47566,PARTY BUNTING,14,07/08/2026 18:51,5.13,12629.0,Italy
540807,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,05/18/2026 10:55,3.09,12948.0,Ireland
539006,21755,LOVE BUILDING BLOCK WORD,17,12/24/2025 10:35,5.74,12710.0,United Kingdom
536682,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,06/11/2026 12:34,2.85,12386.0,Germany
540337,21931,JUMBO STORAGE BAG SUKI,12,07/29/2026 12:07,2.0,,Ireland
538591,21212,PACK OF 72 RETROSPOT CAKE CASES,3,08/10/2025 11:14,0.57,12661.0,United Kingdom
540331,22086,PAPER CHAIN KIT 50'S CHRISTMAS,9,02/02/2026 13:56,3.0,12886.0,Ireland
538300,21754,HOME BUILDING BLOCK WORD,11,04/18/2026 15:19,5.74,12617.0,United Kingdom
540012,84879,ASSORTED COLOUR BIRD ORNAMENT,18,02/17/2026 09:41,1.64,12848.0,United Kingdom
537150,23256,CHILDRENS CUTLERY SPACEBOY,30,07/24/2026 16:34,4.09,12456.0,United Kingdom
540439,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,04/17/2026 11:27,2.89,12900.0,United Kingdom
540311,23256,CHILDRENS CUTLERY SPACEBOY,5,05/24/2026 11:58,4.02,12883.0,United Kingdom
538408,23298,SPOTTY BUNTING,8,12/19/2025 18:06,5.93,12638.0,United Kingdom
536559,47566,PARTY BUNTING,11,12/06/2025 17:52,4.99,12373.0,United Kingdom
536990,22960,JAM MAKING SET WITH JARS,21,08/17/2025 10:26,4.44,12431.0,France
537878,20725,LUNCH BAG RED RETROSPOT,6,12/31/2025 15:23,1.67,12559.0,United Kingdom
541077,21212,PACK OF 72 RETROSPOT CAKE CASES,8,11/10/2025 17:45,0.54,,United Kingdom
537062,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,06/13/2026 13:41,2.6,12444.0,United Kingdom
540660,22423,REGENCY CAKESTAND 3 TIER,14,08/08/2025 15:03,13.04,12935.0,United Kingdom
539171,21730,GLASS STAR FROSTED T-LIGHT HOLDER,27,08/11/2025 18:58,4.36,12731.0,United Kingdom
540184,22178,VICTORIAN GLASS HANGING T-LIGHT,12,04/08/2026 18:23,1.2,12869.0,United Kingdom
540094,22086,PAPER CHAIN KIT 50'S CHRISTMAS,24,05/08/2026 16:06,2.98,12858.0,United Kingdom
540537,22197,SMALL POPCORN HOLDER,5,12/11/2025 17:37,0.86,12916.0,United Kingdom
537584,47566,PARTY BUNTING,1,07/15/2026 10:41,4.95,12515.0,United Kingdom
539045,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,08/16/2025 09:03,4.23,12715.0,United Kingdom
537824,23256,CHILDRENS CUTLERY SPACEBOY,4,09/07/2025 14:53,4.31,12549.0,United Kingdom
540795,22699,ROSES REGENCY TEACUP AND SAUCER,7,04/11/2026 13:31,2.84,12947.0,United Kingdom
540679,84991,60 TEATIME FAIRY CAKE CASES,5,11/16/2025 17:43,0.54,12937.0,United Kingdom
539411,47566,PARTY BUNTING,11,04/28/2026 15:55,4.74,,United Kingdom
537235,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,05/02/2026 19:30,2.67,12467.0,United Kingdom
536926,21754,HOME BUILDING BLOCK WORD,16,02/22/2026 12:59,5.83,12421.0,United Kingdom
539733,22699,ROSES REGENCY TEACUP AND SAUCER,18,09/30/2025 14:15,2.98,12811.0,United Kingdom
537606,22720,SET OF 3 CAKE TINS PANTRY DESIGN,14,08/14/2025 09:29,7.15,12518.0,United Kingdom
537270,20725,LUNCH BAG RED RETROSPOT,5,05/20/2026 17:24,1.7,12472.0,Ireland
540260,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,05/06/2026 16:25,2.66,12876.0,United Kingdom
540014,84991,60 TEATIME FAIRY CAKE CASES,14,03/27/2026 12:34,0.53,12848.0,United Kingdom
538475,47566,PARTY BUNTING,6,07/08/2026 08:52,5.03,,United Kingdom
539606,20725,LUNCH BAG RED RETROSPOT,13,04/10/2026 11:56,1.65,12791.0,United Kingdom
538602,20725,LUNCH BAG RED RETROSPOT,8,10/14/2025 16:34,1.68,12661.0,United Kingdom
538088,22178,VICTORIAN GLASS HANGING T-LIGHT,5,12/01/2025 18:13,1.3,12589.0,United Kingdom
538165,84991,60 TEATIME FAIRY CAKE CASES,23,03/13/2026 15:20,0.54,12598.0,United Kingdom
538445,84991,60 TEATIME FAIRY CAKE CASES,12,03/01/2026 19:37,0.53,12641.0,United Kingdom
539331,21754,HOME BUILDING BLOCK WORD,9,07/15/2026 14:28,5.78,12748.0,United Kingdom
541016,23256,CHILDRENS CUTLERY SPACEBOY,18,08/17/2025 09:00,3.94,12982.0,United Kingdom
536995,84991,60 TEATIME FAIRY CAKE CASES,15,02/05/2026 09:28,0.52,12431.0,France
538608,21931,JUMBO STORAGE BAG SUKI,11,02/10/2026 17:29,2.09,12661.0,United Kingdom
539614,22720,SET OF 3 CAKE TINS PANTRY DESIGN,7,08/18/2025 16:32,7.07,12792.0,Ireland
539973,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,06/21/2026 08:41,4.35,12839.0,United Kingdom
540534,22178,VICTORIAN GLASS HANGING T-LIGHT,16,01/24/2026 10:39,1.26,12915.0,United Kingdom
537582,22197,SMALL POPCORN HOLDER,5,12/20/2025 14:07,0.84,12514.0,United Kingdom
537647,21755,LOVE BUILDING BLOCK WORD,9,12/02/2025 13:35,6.05,12523.0,United Kingdom
541065,21212,PACK OF 72 RETROSPOT CAKE CASES,9,10/18/2025 08:27,0.55,12989.0,United Kingdom
538047,22178,VICTORIAN GLASS HANGING T-LIGHT,11,12/09/2025 10:47,1.27,12585.0,United Kingdom
539926,22960,JAM MAKING SET WITH JARS,10,07/30/2026 16:34,4.14,12836.0,United Kingdom
540904,22086,PAPER CHAIN KIT 50'S CHRISTMAS,14,01/25/2026 14:21,2.84,12968.0,United Kingdom
539821,20725,LUNCH BAG RED RETROSPOT,5,12/13/2025 12:48,1.71,,Germany
540689,84879,ASSORTED COLOUR BIRD ORNAMENT,1,02/22/2026 14:34,1.69,12938.0,United Kingdom
539146,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,10/20/2025 10:45,2.64,12729.0,United Kingdom
541085,22178,VICTORIAN GLASS HANGING T-LIGHT,8,06/07/2026 13:56,1.22,12992.0,United Kingdom
537899,84879,ASSORTED COLOUR BIRD ORNAMENT,13,01/19/2026 18:40,1.73,12562.0,United Kingdom
540480,84879,ASSORTED COLOUR BIRD ORNAMENT,14,08/15/2025 13:50,1.62,12906.0,United Kingdom
538774,20725,LUNCH BAG RED RETROSPOT,5,10/28/2025 13:14,1.58,12679.0,France
537584,84406B,CREAM CUPID HEARTS COAT HANGER,6,07/15/2026 09:30,2.7,12515.0,United Kingdom
538825,23298,SPOTTY BUNTING,21,04/24/2026 16:26,5.71,12684.0,United Kingdom
538986,84879,ASSORTED COLOUR BIRD ORNAMENT,1,08/09/2025 14:03,1.71,12707.0,United Kingdom
541059,20725,LUNCH BAG RED RETROSPOT,13,02/26/2026 10:24,0.0,12988.0,United Kingdom
538764,84879,ASSORTED COLOUR BIRD ORNAMENT,5,03/03/2026 09:28,1.73,12676.0,United Kingdom
537283,22629,SPACEBOY LUNCH BOX,10,04/25/2026 11:35,1.88,12475.0,United Kingdom
540817,84991,60 TEATIME FAIRY CAKE CASES,2,12/17/2025 14:09,0.56,12952.0,United Kingdom
540290,22960,JAM MAKING SET WITH JARS,8,09/10/2025 15:36,4.32,12880.0,Australia
537700,20725,LUNCH BAG RED RETROSPOT,9,02/06/2026 18:34,1.66,12531.0,United Kingdom
539344,84406B,CREAM CUPID HEARTS COAT HANGER,7,12/03/2025 17:18,2.85,12750.0,United Kingdom
540014,47566,PARTY BUNTING,18,03/27/2026 11:28,5.16,12848.0,United Kingdom
540804,84879,ASSORTED COLOUR BIRD ORNAMENT,9,03/20/2026 15:02,1.67,,Ireland
540836,23203,JUMBO BAG DOILEY PATTERNS,3,06/28/2026 13:12,2.14,12956.0,United Kingdom
540513,22960,JAM MAKING SET WITH JARS,2,12/30/2025 14:22,4.44,12910.0,United Kingdom
539047,47566,PARTY BUNTING,4,09/23/2025 12:05,5.05,12715.0,United Kingdom
537075,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,3,11/26/2025 11:36,3.0,12446.0,United Kingdom
537803,22720,SET OF 3 CAKE TINS PANTRY DESIGN,6,10/31/2025 08:52,7.26,12545.0,United Kingdom
540566,22960,JAM MAKING SET WITH JARS,9,05/10/2026 16:55,4.33,12919.0,United Kingdom
538603,47566,PARTY BUNTING,16,11/22/2025 18:08,4.81,12661.0,United Kingdom
540112,47566,PARTY BUNTING,3,02/06/2026 10:05,4.83,,United Kingdom
539617,23256,CHILDRENS CUTLERY SPACEBOY,2,10/30/2025 08:58,4.18,12792.0,Ireland
539422,22629,SPACEBOY LUNCH BOX,5,12/30/2025 16:08,1.99,12763.0,Italy
537218,22423,REGENCY CAKESTAND 3 TIER,25,09/16/2025 19:09,13.22,12466.0,Germany
537047,21754,HOME BUILDING BLOCK WORD,14,03/18/2026 16:05,5.93,12442.0,United Kingdom
540063,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,06/02/2026 18:54,2.52,12853.0,United Kingdom
539860,22178,VICTORIAN GLASS HANGING T-LIGHT,8,09/20/2025 15:44,1.21,,United Kingdom
C538327,84991,60 TEATIME FAIRY CAKE CASES,-2,08/15/2025 11:55,0.54,12622.0,United Kingdom
538972,84991,60 TEATIME FAIRY CAKE CASES,15,07/23/2026 19:35,0.54,12701.0,United Kingdom
540643,22423,REGENCY CAKESTAND 3 TIER,2,08/21/2025 08:34,13.01,12932.0,United Kingdom
539236,22629,SPACEBOY LUNCH BOX,13,07/22/2026 09:11,1.99,12737.0,Australia
537950,22629,SPACEBOY LUNCH BOX,5,12/27/2025 11:52,1.94,12572.0,Portugal
538135,22423,REGENCY CAKESTAND 3 TIER,1,03/23/2026 14:52,13.2,12594.0,United Kingdom
539252,22423,REGENCY CAKESTAND 3 TIER,18,08/10/2025 15:41,13.38,12742.0,United Kingdom
541092,21931,JUMBO STORAGE BAG SUKI,3,10/09/2025 17:40,1.98,12993.0,United Kingdom
539784,22086,PAPER CHAIN KIT 50'S CHRISTMAS,13,10/11/2025 15:00,2.89,12817.0,United Kingdom
539308,22699,ROSES REGENCY TEACUP AND SAUCER,27,12/02/2025 09:07,2.81,12746.0,United Kingdom
536602,21931,JUMBO STORAGE BAG SUKI,15,08/22/2025 18:16,2.05,12378.0,United Kingdom
540694,21730,GLASS STAR FROSTED T-LIGHT HOLDER,9,07/12/2026 14:58,4.37,12938.0,United Kingdom
540468,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,02/18/2026 17:38,2.52,12904.0,United Kingdom
540159,22197,SMALL POPCORN HOLDER,11,08/14/2025 18:27,0.89,12868.0,United Kingdom
540925,21931,JUMBO STORAGE BAG SUKI,7,08/12/2025 11:27,2.12,12973.0,United Kingdom
540448,47566,PARTY BUNTING,5,11/17/2025 18:06,5.16,12901.0,United Kingdom
538420,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,3,07/13/2026 09:47,3.0,12639.0,United Kingdom
537242,22699,ROSES REGENCY TEACUP AND SAUCER,2,08/15/2025 19:21,2.95,12468.0,United Kingdom
538377,84406B,CREAM CUPID HEARTS COAT HANGER,18,06/13/2026 19:06,2.88,12629.0,Italy
536769,71053,WHITE METAL LANTERN,5,04/05/2026 13:28,3.39,12399.0,United Kingdom
538004,22960,JAM MAKING SET WITH JARS,6,02/05/2026 09:22,4.16,12581.0,United Kingdom
537495,22178,VICTORIAN GLASS HANGING T-LIGHT,16,05/28/2026 11:52,1.2,12504.0,United Kingdom
539448,22383,LUNCH BAG SUKI DESIGN,6,10/30/2025 19:33,1.58,12767.0,Belgium
536682,84879,ASSORTED COLOUR BIRD ORNAMENT,9,06/11/2026 09:54,1.66,12386.0,Germany
536807,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,11/23/2025 15:58,2.9,12405.0,United Kingdom
536401,47566,PARTY BUNTING,6,02/04/2026 13:26,4.77,12351.0,United Kingdom
538237,22197,SMALL POPCORN HOLDER,1,08/14/2025 11:23,0.84,12608.0,United Kingdom
538634,71053,WHITE METAL LANTERN,5,02/28/2026 11:49,3.53,12663.0,United Kingdom
538415,22629,SPACEBOY LUNCH BOX,3,04/25/2026 12:04,1.93,12638.0,United Kingdom
536942,23203,JUMBO BAG DOILEY PATTERNS,5,09/29/2025 15:56,2.13,12423.0,United Kingdom
538731,71053,WHITE METAL LANTERN,6,06/03/2026 19:38,3.32,12673.0,Netherlands
537795,71053,WHITE METAL LANTERN,12,01/01/2026 12:33,3.39,,United Kingdom
540670,47566,PARTY BUNTING,11,03/28/2026 13:57,5.19,12935.0,United Kingdom
536867,21755,LOVE BUILDING BLOCK WORD,2,12/21/2025 17:27,6.11,12414.0,United Kingdom
539949,21931,JUMBO STORAGE BAG SUKI,10,04/02/2026 15:30,2.12,12837.0,Netherlands
537895,22699,ROSES REGENCY TEACUP AND SAUCER,9,03/02/2026 08:24,2.98,12561.0,United Kingdom
537713,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,2,06/28/2026 14:57,0.0,12533.0,United Kingdom
539327,22197,SMALL POPCORN HOLDER,10,06/04/2026 09:12,0.87,12747.0,United Kingdom
538946,23256,CHILDRENS CUTLERY SPACEBOY,7,01/23/2026 08:42,4.2,12700.0,United Kingdom
538521,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/21/2025 10:46,1.66,12653.0,United Kingdom
536864,21755,LOVE BUILDING BLOCK WORD,4,09/03/2025 16:49,5.84,12412.0,Spain
537803,22423,REGENCY CAKESTAND 3 TIER,6,10/31/2025 18:57,12.37,12545.0,United Kingdom
540197,23203,JUMBO BAG DOILEY PATTERNS,5,04/23/2026 09:52,2.06,12870.0,United Kingdom
C538710,22720,SET OF 3 CAKE TINS PANTRY DESIGN,-5,04/22/2026 14:33,7.12,12670.0,United Kingdom
538460,20725,LUNCH BAG RED RETROSPOT,4,07/08/2026 09:13,1.71,12643.0,United Kingdom
540688,22423,REGENCY CAKESTAND 3 TIER,7,01/22/2026 11:45,12.5,12938.0,United Kingdom
537792,71053,WHITE METAL LANTERN,3,10/29/2025 15:48,3.23,12543.0,United Kingdom
540754,23298,SPOTTY BUNTING,10,12/01/2025 13:46,6.18,12944.0,United Kingdom
540894,22197,SMALL POPCORN HOLDER,13,01/29/2026 10:49,0.85,12966.0,United Kingdom
537038,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,06/11/2026 10:50,4.32,12440.0,United Kingdom
537322,23298,SPOTTY BUNTING,29,07/28/2026 09:45,5.66,12480.0,United Kingdom
538606,21212,PACK OF 72 RETROSPOT CAKE CASES,16,12/25/2025 15:00,0.57,12661.0,United Kingdom
537218,21212,PACK OF 72 RETROSPOT CAKE CASES,17,09/16/2025 15:59,0.56,12466.0,Germany
C536711,22699,ROSES REGENCY TEACUP AND SAUCER,-4,01/22/2026 19:00,2.96,12390.0,United Kingdom
540594,22629,SPACEBOY LUNCH BOX,5,06/18/2026 12:47,1.9,12923.0,United Kingdom
537667,23298,SPOTTY BUNTING,6,02/02/2026 16:30,5.79,,United Kingdom
539366,20725,LUNCH BAG RED RETROSPOT,5,07/03/2026 16:17,1.61,12753.0,United Kingdom
541014,21730,GLASS STAR FROSTED T-LIGHT HOLDER,18,08/15/2025 16:38,4.08,,United Kingdom
539415,22423,REGENCY CAKESTAND 3 TIER,7,03/02/2026 13:39,13.31,12762.0,United Kingdom
539892,21212,PACK OF 72 RETROSPOT CAKE CASES,9,01/21/2026 08:21,0.53,12831.0,France
540786,21755,LOVE BUILDING BLOCK WORD,4,05/23/2026 12:01,6.18,12945.0,United Kingdom
536931,23298,SPOTTY BUNTING,3,07/14/2026 13:27,6.04,12421.0,United Kingdom
536912,23298,Spotty Bunting  ,8,08/11/2025 18:52,6.08,12421.0,United Kingdom
540348,23256,CHILDRENS CUTLERY SPACEBOY,13,07/01/2026 17:47,3.97,12887.0,Germany
537546,23203,JUMBO BAG DOILEY PATTERNS,5,08/13/2025 10:44,2.1,12512.0,United Kingdom
538815,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,23,09/14/2025 11:28,3.03,12684.0,United Kingdom
540922,23203,JUMBO BAG DOILEY PATTERNS,10,08/11/2025 18:58,2.06,12973.0,United Kingdom
538692,21754,HOME BUILDING BLOCK WORD,11,01/15/2026 08:17,5.76,12667.0,United Kingdom
539382,47566,PARTY BUNTING,7,01/31/2026 17:23,5.18,12756.0,Ireland
539330,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,07/09/2026 08:59,2.54,12748.0,United Kingdom
536755,22960,JAM MAKING SET WITH JARS,17,05/08/2026 14:23,4.22,12396.0,United Kingdom
539382,20725,LUNCH BAG RED RETROSPOT,12,01/31/2026 17:39,1.71,12756.0,Ireland
539539,22699,ROSES REGENCY TEACUP AND SAUCER,11,06/28/2026 15:24,3.08,12780.0,United Kingdom
538255,84991,,2,04/27/2026 08:15,0.56,12609.0,United Kingdom
539071,22423,REGENCY CAKESTAND 3 TIER,18,02/07/2026 19:52,13.14,12718.0,United Kingdom
540611,22960,JAM MAKING SET WITH JARS,2,09/02/2025 17:29,4.43,12929.0,United Kingdom
